# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 8.48825 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       5.246581297044e+01 
       2.333095830364e-05       1.136047256074e+02 
       3.625717138197e-05       1.736019845608e+02 
       4.926346170446e-05       2.331317056490e+02 
       6.238518340034e-05       2.925732406382e+02 
       7.565858108432e-05       3.522083257537e+02 
       8.912111517766e-05       4.122762395174e+02 
       1.028118016360e-04       4.729962932191e+02 
       1.167715704439e-04       5.345793318067e+02 
       1.310436472695e-04       5.972346362482e+02 
       1.456739626796e-04       6.611746831877e+02 
       1.607115932535e-04       7.266188145202e+02 
       1.762092387588e-04       7.937963475156e+02 
       1.922237391794e-04       8.629493895465e+02 
       2.088166347275e-04       9.343355253678e+02 
       2.260547708937e-04       1.008230461926e+03 
       2.440109489228e-04       1.084930664540e+03 
       2.627646196243e-04       1.164756017103e+03 
       2.824026148746e-04       1.248052473247e+03 
       3.030199061975e-04       1.335194660643e+03 
       3.247203730558e-04       1.426588364107e+03 
       3.476175545344e-04       1.522672751493e+03 
       3.718353465748e-04       1.623922190074e+03 
       3.975085925723e-04       1.730847384223e+03 
       4.247834979996e-04       1.843995597270e+03 
       4.538177802962e-04       1.963949523186e+03 
       4.847804449377e-04       2.091324409425e+03 
       5.178510599038e-04       2.226762913959e+03 
       5.532183878397e-04       2.370927194116e+03 
       5.910782339040e-04       2.524487676862e+03 
       6.316303850249e-04       2.688108287227e+03 
       6.750745609842e-04       2.862427787266e+03 
       7.216053758473e-04       3.048037604329e+03 
       7.714064215132e-04       3.245456796135e+03 
       8.246437268604e-04       3.455105464118e+03 
       8.814589978991e-04       3.677278381292e+03 
       9.419631766204e-04       3.912121330051e+03 
       1.006230932013e-03       4.159612543657e+03 
       1.074296682416e-03       4.419551677529e+03 
       1.146152626855e-03       4.691558000904e+03 
       1.221749044348e-03       4.975078520422e+03 
       1.300996843579e-03       5.269405612442e+03 
